sep=;
Name;Parameter;ValueValid;Description;Issues
Tools; -tools;FALSE;Enables engine tools.;Can cause lighting errors in game.
No Video; -novid;FALSE;Disables the intro video when launching.; 
Developer Mode; -dev;FALSE;Disables the automatic loading of menu background maps and stops the quit dialog from appearing on exit.; 
Console; -console;FALSE;Starts the game with the console enabled.; 
Windowed; -windowed;FALSE;Loads game in windowed mode.; 
Window Width; -width;TRUE;Sets window resolution width.; 
Window Height; -height;TRUE;Sets window resolution height.;
No border; -noborder;FALSE;Removes the window border in windowed mode.;
Hijack; -hijack;FALSE;Hijacks the current game process rather than launching a second one.;
Insecure; -insecure;FALSE;Runs the game in insecure mode.;May cause issues with multiplayer servers.;
Make Dev Shots; -makedevshots;FALSE;Takes point_devshot_camera screenshots automatically.;-dev recommended to be off.;
